"idproducto";"categoria";"tipo";"nombre";"precio";"descripcion"
11;1;1;"platillo 0";10.0;"descripcion del platillo"
12;1;2;"platillo 1";1.0;"descripcion del platillo"
13;1;1;"platillo 2";2.0;"descripcion del platillo"
14;1;2;"platillo 3";3.0;"descripcion del platillo"
15;1;3;"platillo 4";4.0;"descripcion del platillo"
16;1;1;"platillo 5";5.0;"descripcion del platillo"
17;1;2;"platillo 6";6.0;"descripcion del platillo"
18;1;3;"platillo 7";7.0;"descripcion del platillo"
19;1;4;"platillo 8";8.0;"descripcion del platillo"
20;1;1;"platillo 9";9.0;"descripcion del platillo"
21;2;1;"bebida 0";10.0;"descripcion de la bebida"
22;2;2;"bebida 1";1.0;"descripcion de la bebida"
23;2;1;"bebida 2";2.0;"descripcion de la bebida"
24;2;2;"bebida 3";3.0;"descripcion de la bebida"
25;2;3;"bebida 4";4.0;"descripcion de la bebida"
26;2;1;"bebida 5";5.0;"descripcion de la bebida"
27;2;2;"bebida 6";6.0;"descripcion de la bebida"
28;2;3;"bebida 7";7.0;"descripcion de la bebida"
29;2;4;"bebida 8";8.0;"descripcion de la bebida"
30;2;1;"bebida 9";9.0;"descripcion de la bebida"
31;3;1;"postre 0";10.0;"descripcion del postre"
32;3;2;"postre 1";1.0;"descripcion del postre"
33;3;1;"postre 2";2.0;"descripcion del postre"
34;3;2;"postre 3";3.0;"descripcion del postre"
35;3;3;"postre 4";4.0;"descripcion del postre"
36;3;1;"postre 5";5.0;"descripcion del postre"
37;3;2;"postre 6";6.0;"descripcion del postre"
38;3;3;"postre 7";7.0;"descripcion del postre"
39;3;4;"postre 8";8.0;"descripcion del postre"
40;3;1;"postre 9";9.0;"descripcion del postre"
